year,month,cpi_yoy
2020,1,2.42
2020,2,2.31
2020,3,2.54
2020,4,3.09
2020,5,3.03
2020,6,3.21
2020,7,3.37
2020,8,3.59
2020,9,3.67
2020,10,3.99
2020,11,4.42
2020,12,4.91
2021,1,5.19
2021,2,5.67
2021,3,5.79
2021,4,5.53
2021,5,6.01
2021,6,6.51
2021,7,6.46
2021,8,6.67
2021,9,7.41
2021,10,8.13
2021,11,8.40
2021,12,8.39
2022,1,8.73
2022,2,9.15
2022,3,16.69
2022,4,17.83
2022,5,17.10
2022,6,15.90
2022,7,15.01
2022,8,14.30
2022,9,13.68
2022,10,12.63
2022,11,11.98
2022,12,11.94
2023,1,11.77
2023,2,11.01
2023,3,3.51
2023,4,2.31
2023,5,2.51
2023,6,3.25
2023,7,4.26
2023,8,5.15
2023,9,6.00
2023,10,6.69
2023,11,7.48
2023,12,7.42
2024,1,7.44
2024,2,7.69
2024,3,7.72
2024,4,7.84
2024,5,8.30
2024,6,8.59
2024,7,9.13
2024,8,9.05
2024,9,8.63
2024,10,8.54
2024,11,8.88
2024,12,9.52
2025,1,9.92
2025,2,10.06
2025,3,10.34
2025,4,10.21
2025,5,9.87
2025,6,9.40
2025,7,8.99
2025,8,8.52
2025,9,8.11
2025,10,7.72
2025,11,7.45
2025,12,7.20
2026,1,6.89
2026,2,6.54
2026,3,6.21
2026,4,5.98
