valid_from,rate
2013-09-13,5.5
2014-03-03,7.0
2014-04-28,7.5
2014-07-28,8.0
2014-11-05,9.5
2014-12-12,10.5
2014-12-16,17.0
2015-02-02,15.0
2015-03-16,14.0
2015-05-05,12.5
2015-06-16,11.5
2015-08-03,11.0
2015-10-05,11.0
2015-12-14,11.0
2016-06-14,10.5
2016-09-19,10.0
2016-03-27,9.75
2017-09-18,8.5
2017-10-30,8.25
2017-12-18,7.75
2018-02-12,7.5
2018-03-26,7.25
2018-09-17,7.5
2018-12-17,7.75
2019-06-17,7.5
2019-07-29,7.25
2019-09-09,7.0
2019-10-28,6.5
2019-12-16,6.25
2020-02-10,6.0
2020-04-27,5.5
2020-06-22,4.5
2020-07-27,4.25
2021-03-22,4.5
2021-04-26,5.0
2021-06-11,5.5
2021-07-26,6.5
2021-09-13,6.75
2021-10-25,7.5
2021-12-20,8.5
2022-02-14,9.5
2022-02-28,20.0
2022-04-11,17.0
2022-05-04,14.0
2022-05-27,11.0
2022-06-10,9.5
2022-07-25,8.0
2022-09-19,7.5
2023-07-24,8.5
2023-08-15,12.0
2023-09-18,13.0
2023-10-30,15.0
2023-12-18,16.0
2024-02-16,16.0
2024-12-20,21.0
2025-02-14,21.0
2025-04-25,21.0
2025-06-06,20.0
2026-02-14,16.0
2026-04-25,16.0
